County,Fire Name,Start,Cont.,acres
Riverside,PEDLEY,5/12/10,5/13/10,850
Kern,METZEN,5/15/10,5/15/10,360
Riverside,MCKINLEY,5/20/10,5/22/10,1000
Tulare,BALE,6/04/10,6/04/10,485
Merced,CHILDS,6/05/10,6/05/10,462
Fresno,WHITES,6/07/10,6/07/10,350
Stanislaus,STUHR,6/08/10,6/10/10,586
Merced,ROBINSON,6/11/10,6/12/10,1600
Alameda,DIABLO,6/18/10,6/19/10,475
Butte,PALERMO,7/04/10,7/05/10,900
Santa Barbara,166,7/12/10,7/12/10,350
Riverside,SKINNER,7/15/10,7/18/10,503
Riverside,CACTUS,7/15/10,7/18/10,720
Kern,WEST,7/27/10,8/06/10,1658
Los Angeles,CROWN,7/29/10,8/03/10,14000
Tulare,STOKES 2,8/17/10,8/18/10,879
Placer,BASELINE,8/20/10,8/21/10,434
San Diego,MONTE,8/21/10,8/23/10,2000
San Luis Obispo,POZO,8/21/10,8/22/10,1200
Lake,INDIAN,8/24/10,8/26/10,450
Kern,POST,8/25/10,8/28/10,1312
Nevada,BULLARDS,8/27/10,9/13/10,1500
San Diego,COWBOY,9/02/10,9/07/10,827
San Luis Obispo,COTTON,5/15/10,5/17/10,2044
San Diego,ALISO,7/13/10,7/15/10,3225
Kern,BODFISH,7/15/10,7/18/10,552
Kern,SAND 2,7/16/10,7/22/10,1254
Fresno,SHEEP,7/16/10,10/25/10,9020
Kern,INDIAN,7/18/10,7/24/10,1822
Mono,PATATO,7/24/10,7/27/10,686
Tuolumne,SLOPE,7/25/10,1/23/10,1711
Mono,MONO,7/26/10,7/29/10,1205
Kern,BULL,7/26/10,8/10/10,16442
Lassen,MCDONALD,7/27/10,8/10/10,9408
Los Angeles,BRIGGS,7/29/10,7/30/10,510
Siskiyou,DUTCH,7/31/10,8/04/10,371
Plumas,BAR,7/31/10,8/10/10,1040
Madera,BUCKHORN,8/07/10,10/30/10,466
Tuolumne,VERNON,8/08/10,10/31/10,909
Tuolumne,PINECREST,8/09/10,10/15/10,799
Yuba,BULLARD,8/27/10,8/31/10,1307
Kern,CANYON,9/12/10,9/19/10,9820
Santa Barbara,BEAR CREEK,10/28/10,10/30/10,1253
