counties,name,start,contained,DPA,acres
MARIPOSA,RIVER,5/18/12,5/22/12,CALFIRE,320
SAN DIEGO,BANNER 4,5/24/12,5/29/12,CAL FIRE,5320
MERCED,BILLY,5/31/12,5/31/12,CAL FIRE,434
LOS ANGELES,5 MILE,6/8/12,6/9/12,CAL FIRE,525
MARIPOSA,GAINES,6/12/12,6/14/12,CAL FIRE,1700
FRESNO,LASSEN,6/12/12,6/13/12,CALFIRE,418
RIVERSIDE,HIGHLAND,6/16/12,6/18/12,CAL FIRE,2171
RIVERSIDE,VIEW,6/17/12,6/18/12,CAL FIRE,375
SAN DIEGO,OLD 2,6/17/12,6/20/12,CAL FIRE,995
SHASTA,DALE,7/5/12,7/7/12,CALFIRE,1083
INYO,FISH,7/7/12,7/9/12,CAL FIRE,1103
COLUSA,SITES,7/8/12,7/9/12,CAL FIRE,365
COLUSA,GRAPEVINE,7/8/12,7/12/12,CAL FIRE,1870
COLUSA,RAIL,7/9/12,7/12/12,CAL FIRE,1870
MONTEREY,TURKEY,7/9/12,7/10/12,CAL FIRE,2529
TUOLUMNE,SEVEN,7/10/12,7/11/12,CAL FIRE,840
PLACER,ROBBERS,7/11/12,7/21/12,CALFIRE,2650
San Luis OBISPO,CALF,7/16/12,7/18/12,CALFIRE,640
KERN,SAND,7/17/12,7/19/12,CALFIRE,1428
YOLO,FOREST,7/21/12,7/24/12,CALFIRE,520
TEHAMA,PASKENTA,7/25/12,7/25/12,CALFIRE,300
KERN,GRAPE,7/28/12,7/29/12,CALFIRE,370
MENDOCINO,NORTH,7/28/12,7/30/12,CALFIRE,383
RIVERSIDE,VOLCANO,8/1/12,8/5/12,CALFIRE,356
RIVERSIDE,RUSHMORE,8/4/12,8/4/12,CALFIRE,1000
SAN DIEGO,CHIHUAHUA 2,8/9/12,8/12/12,CALFIRE,2006
LAKE-COLUSA,WYE,8/12/12,8/18/12,CALFIRE,2934
LAKE-COLUSA,WALKER,8/12/12,8/14/12,CALFIRE,5000
SAN DIEGO,Vallecito lightning COMPLEX,8/13/12,8/20/12,CALFIRE,22829
TEHAMA,MILL,8/13/12,8/23/12,CALFIRE,1641
RIVERSIDE,BUCK,8/14/12,8/18/12,CALFIRE,2681
Tehama-SHASTA,PONDEROSA,8/18/12,9/2/12,CALFIRE,27676
RIVERSIDE,VISTA,8/20/12,8/21/12,CALFIRE,500
COLUSA,Sixteen COMPLEX,9/4/12,9/11/12,CALFIRE,19000
LAKE,SCOTTS,9/7/12,9/14/12,CALFIRE,4517
SAN DIEGO,SHOCKEY,9/23/12,9/27/12,CAL FIRE,2555
RIVERSIDE,RANGE,9/29/12,10/1/12,CAL FIRE,351
LAKE,TWENTY NINE,10/18/12,10/21/12,CAL FIRE,300
TULARE,GEORGE,6/1/12,6/15/12,USFS,1707
VENTURA,OZENA,6/16/12,6/17/12,USFS,361
KERN,GULCH,6/19/12,6/21/12,USFS,385
VENTURA,HILL,6/23/12,6/27/12,USFS,689
TRINITY,FLAT,7/11/12,7/17/12,USFS,1688
COLUSA,MILL,7/7/12,7/18/12,USFS,29502
LASSEN,SPANISH,7/18/12,7/21/12,USFS,1169
FRESNO,WOODS CREEK,7/15/12,7/21/12,USFS,325
PLUMAS,PEAK,7/29/12,8/2/12,USFS,800
SHASTA,SALT CREEK,8/1/12,8/4/12,USFS,980
SISKIYOU,DILLON,8/3/12,8/7/12,USFS,318
MODOC,LAKE COMPLEX,8/5/12,8/9/12,USFS,1668
KERN,PIUTE COMLEX,8/4/12,8/11/12,USFS,1783
FRESNO,BEAR,8/5/12,8/12/12,USFS,835
MONO,INDIAN,8/8/12,8/15/12,USFS,12574
SHASTA,READING,7/23/12,8/21/12,NPS,28079
MODOC,NELSON (W-1),8/17/12,8/21/12,NPS/BLM,3661
SHASTA,BAGLEY COMPLEX,8/18/12,8/22/12,NPS,1000
KERN,Jawbone COMPLEX,8/10/12,8/22/12,NPS/BLM,1218
MODOC,ANTELOPE,8/21/12,8/25/12,NPS,650
MODOC,Barrypoint (CA LAND),8/6/12,8/28/12,USFS,38394
LASSEN,RUSH,8/12/12,8/31/12,NPS/BLM,271911
CALAVERAS,RAMSEY,8/11/12,8/31/12,USFS,1137
PLUMAS-LASSEN,CHIPS,7/29/12,8/31/12,USFS,75217
SISKIYOU,FORT COMPLEX,8/5/12,9/10/12,USFS,23653
LOS ANGELES,WILLIAMS,9/2/12,9/11/12,USFS,4192
TRINITY,STAFFORD,9/5/12,9/13/12,USFS,4407
SHASTA,WARD,9/11/12,9/14/12,USFS,550
SHASTA,BAGLEY,8/18/12,9/15/12,USFS,46011
MENDOCINO,NORTH PASS,8/18/12,9/16/12,USFS,41983
LASSEN,LIKELY,9/5/12,9/14/12,USFS,9838
INYO,SOUTH COMPLEX,8/10/12,10/16/12,USFS,453
SAN BERNARDINO,DEVORE,11/5/12,11/6/12,USFS,335
MARIPOSA,CASCADE,6/16/12,11/26/12,NPS,1705
