county,name,start,contained,acres
LAKE,BECKS,1/22/13,1/23/13,335
INYO,RIVER,2/24/13,2/28/13,407
RIVERSIDE,JURUPA,2/28/13,3/2/13,300
TEHAMA,PANTHER,5/1/13,5/9/13,6896
RIVERSIDE,SUMMIT,5/1/13,5/4/13,2956
VENTURA,SPRINGS,5/2/13,5/9/13,24251
SAN BENITO,TRES PINOS,5/3/13,5/4/13,354
MENDOCINO,FOSTER,5/3/13,5/5/13,300
RIVERSIDE,GORGONIO,5/4/13,5/4/13,650
LOS ANGELES,LAKE,5/17/13,5/20/13,712
SAN DIEGO,FELIPE,5/23/13,5/29/13,2650
MERCED,RIVER,5/26/13,5/27/13,450
SAN DIEGO,GENERAL,5/26/13,5/31/13,2500
SAN JOAQUIN,SHELTON,5/30/13,5/30/13,303
MADERA,ROLLING,6/16/13,6/18/13,480
SAN BERNARDINO,MILL,6/28/13,7/2/13,534
CONTRA COSTA,KIRKER,7/1/13,7/2/13,492
MODOC,FOX,7/3/13,7/7/13,502
SAN DIEGO,CHARIOT,7/6/13,7/15/13,7055
RIVERSIDE,MOUNTAIN,7/15/13,7/31/13,27531
KERN,RANCHO,7/19/13,7/22/13,500
KERN,WATER,7/23/13,7/25/13,612
RIVERSIDE,SILVER,8/7/13,8/15/13,20292
BUTTE,SWEDES,8/16/13,8/22/13,2264
TEHAMA,DEER,8/23/13,8/29/13,11429
CONTRA COSTA,MORGAN,9/8/13,9/14/13,3100
SHASTA,CLOVER,9/9/13,9/15/13,8073
NAPA,PUTAH,10/3/13,10/4/13,376
BUTTE,SUMMIT,10/4/13,10/5/13,305
SONOMA,MCCABE,11/22/13,11/28/13,3505
KERN,GRAND,5/15/13,5/22/13,4346
SANTA BARBARA,WHITE,5/27/13,6/5/13,1984
LOS ANGELES,POWERHOUSE,5/30/13,6/10/13,30274
SAN LUIS OBISPO,BRANCH,6/1/13,6/4/13,486
RIVERSIDE,HATHAWAY,6/9/13,10/15/13,3870
MARIPOSA,CARSTENS,6/16/13,6/26/13,1708
EL DORADO,KYBURZ,7/8/13,7/11/13,572
FRESNO,ASPEN,7/22/13,9/8/13,22992
HUMBOLDT,DANCE,7/29/13,8/2/13,577
SISKIYOU,FORKS COMPLEX,7/31/13,10/1/13,37246
RIVERSIDE,FALLS,8/5/13,8/9/13,1383
TUOLUMNE,POWER,8/5/13,8/13/13,1070
HUMBOLDT,CORRAL COMPLEX,8/10/13,10/2/13,12503
PLACER,AMERICAN,8/11/13,8/29/13,27440
TUOLUMNE,RIM,8/17/13,10/27/13,257314
KERN,SHIRLEY COMPLEX,8/18/13,8/22/13,794
PLUMAS,HOUGH COMPLEX,8/18/13,8/24/13,513
SAN BERNARDINO,GOBBLERS,8/20/13,8/30/13,413
MONTEREY,MISSION,8/22/13,8/25/13,4500
TULARE,FISH,8/23/13,9/5/13,2060
FRESNO,WINDY PEAK,8/23/13,10/20/13,681
SAN DIEGO,DELUZ,10/5/13,10/9/13,2236
LAKE,HIGHGLADE,11/23/13,11/29/13,305
MONTEREY,PFEIFFER,12/16/13,12/20/13,917
