counties,name,start,contained,acres
INYO,MOFFAT,04/19/18,04/24/18,1065
MERCED,NEES,05/02/18,05/02/18,1756
RIVERSIDE,PATTERSON,05/17/18,05/18/18,1261
MADERA,CANAL,05/19/18,05/20/18,300
LOS ANGELES,STONE,06/04/18,06/08/18,1352
MADERA,O'NEALS,06/04/18,06/07/18,300
SAN BENITO,AIRLINE 2,06/04/18,06/12/18,1314
SAN BENITO,EASTERN 2,06/04/18,06/12/18,513
TEHAMA,APPLE,06/09/18,06/12/18,2956
GLENN,CHROME,06/09/18,06/22/18,2290
MERCED,PLANADA,06/15/18,06/19/18,4563
LAKE,PAWNEE,06/23/18,07/08/18,15180
TEHAMA,LANE,06/23/18,07/04/18,3392
SHASTA,PANTHER,06/24/18,06/26/18,386
BUTTE,SHIPPEE,06/26/18,06/27/18,460
LASSEN,HYATT,06/27/18,06/29/18,383
SAN JOAQUIN,WAVERLY,06/29/18,07/12/18,11789
YOLO,COUNTY,06/30/18,07/14/18,90000
EL DORADO,SHINGLE,07/04/18,07/05/18,316
SISKIYOU,KLAMATHON,07/05/18,07/21/18,38008
SAN BERNARDINO,VALLEY,07/06/18,07/12/18,1350
AMADOR,IRISH,07/06/18,07/09/18,825
ALAMEDA,GRANT,07/08/18,07/09/18,480
TEHAMA,DALE,07/09/28,07/09/18,856
YOLO,EIGHTY EIGHT,07/18/18,07/21/18,822
SANTA CLARA,COUNTRY,07/22/18,07/24/18,320
SHASTA,CARR,07/23/18,09/01/18,229651
SAN DIEGO,PASQUAL,07/27/18,07/31/18,365
"COLUSA, LAKE, MENDOCINO",RIVER - MENDOCINO COMPLEX,07/27/18,09/27/18,48920
"COLUSA, GLENN, LAKE, MENDOCINO",RANCH - MENDOCINO COMPLEX,07/27/18,08/17/18,410203
PLACER,SUNSET,08/01/18,08/03/18,695
KERN,TARINA,08/03/18,08/05/18,3516
MONTEREY,TURKEY,08/06/18,08/07/18,2225
SHASTA,HAT,08/09/18,08/23/18,1900
SOLANO,NELSON,08/10/18,08/14/18,2162
MONTEREY,GULCH,08/11/18,08/11/18,700
TULARE,RIVER 7,08/15/18,08/19/18,496
NAPA,SNELL,09/08/18,9/15/2018,2490
TUOLUMNE,TULLOCH,09/08/18,09/10/18,573
MONTEREY,METZ,09/13/18,09/15/18,411
MADERA,OAK,09/22/18,09/29/18,360
LOS ANGELES,CHARLIE,09/22/18,09/30/18,3380
TEHAMA,SUN,10/07/18,10/07/18,3889
BUTTE,JUNES,10/30/18,11/12/18,550
VENTURA,HILL,11/08/18,11/16/18,4381
BUTTE,CAMP,11/08/18,12/20/18,153336
VENTURA,WOOLSEY,11/08/18,11/22/18,96949
INYO,PLEASANT,02/18/18,02/25/18,2070
SAN DIEGO,ALPHA,05/04/18,05/05/18,300
MADERA,LIONS,06/11/18,07/14/18,12990
LASSEN,TUMBLEWEED,06/14/18,06/17/18,646
SAN LUIS OBISPO,YANKEE,06/20/18,06/22/18,1500
SAN DIEGO,PENDLETON COMPLEX,07/06/18,07/10/18,1520
SAN DIEGO,WEST,07/06/18,07/10/18,505
INYO,GEORGES,07/08/18,07/23/18,2941
BUTTE,STONEY,07/12/18,07/20/18,1000
MODOC,EAGLE,07/13/18,07/20/18,2100
MARIPOSA,FERGUSON,07/13/18,08/22/18,96901
RIVERSIDE,CRANSTON,07/25/18,08/09/18,13139
LASSEN,WHALEBACK,07/27/18,08/06/18,18703
SUTTER,BUTTE,07/31/18,08/02/18,1000
MONO,OWENS,07/31/18,08/05/18,338
MONO,HOTCREEK,07/31/18,08/05/18,419
MENDOCINO,EEL,07/31/18,08/08/18,972
TUOLUMNE,DONNELL,08/01/18,10/31/18,36450
ORANGE,HOLY,08/06/18,09/14/18,23025
SHASTA,HIRZ,08/09/18,09/12/18,46051
MODOC,STONE,08/15/18,09/01/18,39387
HUMBOLDT,MILL CREEK 1,08/16/18,08/30/18,3674
KERN,CALL,08/18/18,08/21/18,367
SAN LUIS OBISPO,FRONT,08/19/18,08/29/18,1014
PLACER,NORTH,09/03/18,09/16/18,1120
TRINITY,KERLIN,09/04/18,09/17/18,1751
SHASTA,DELTA,09/05/18,10/11/18,63311
MONTEREY,NACIMIENTO,10/02/18,10/03/18,450
TULARE,ALDER,10/04/18,12/22/18,4654
SOLANO,BRANSCOMBE,10/07/18,10/08/18,4500
TULARE,MOUNTAINEER,10/13/18,12/22/18,1270
